Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 2017.6 351 0 129 NA NA NA 728 0 206 NA NA NA 1361 356 985 NA NA NA 1387 488 1442 NA NA NA
1547460000.0 2017.8 188 NA NA NA NA NA 304 NA NA NA NA NA 471 NA NA NA NA NA 629 NA NA NA NA NA
1547460000.0 2017.9 356 0 131 NA NA NA 732 0 205 NA NA NA 1192 292 970 NA NA NA 1167 436 1528 NA NA NA
1547460000.0 202.0 NA 173 366 0 NA NA NA 602 513 0 NA NA NA 1514 4657 881 NA NA NA 2533 6572 1097 NA NA
1547460000.0 20234.99 NA 435 538 527 0 NA NA 638 754 762 0 NA NA 7357 5507 5323 675 NA NA 4341 2782 2918 712 NA
1547460000.0 20261.97 411 NA NA NA NA NA 662 NA NA NA NA NA 4920 NA NA NA NA NA 2588 NA NA NA NA NA
1547460000.0 203.0 NA 172 367 0 NA NA NA 556 519 0 NA NA NA 1130 2918 708 NA NA NA 2305 3264 952 NA NA
1547460000.0 205.0 NA 181 370 0 NA NA NA 557 529 0 NA NA NA 1409 4705 1142 NA NA NA 1238 4648 1733 NA NA
1547460000.0 22.0 NA 115 290 0 NA NA NA 545 438 0 NA NA NA 2443 4702 1132 NA NA NA 1202 4437 1736 NA NA
1547460000.0 25.0 NA 124 337 0 83 NA NA 590 474 0 138 NA NA 3631 5454 630 355 NA NA 1536 3553 662 326 NA
1547460000.0 250199.0 324 NA NA NA NA NA 637 NA NA NA NA NA 3111 NA NA NA NA NA 1856 NA NA NA NA NA
1547460000.0 250199.17 356 NA NA NA NA NA 594 NA NA NA NA NA 3128 NA NA NA NA NA 1763 NA NA NA NA NA
1547460000.0 250202.17 NA 398 478 0 NA NA NA 791 715 0 NA NA NA 13063 3638 1242 NA NA NA 4872 2380 1331 NA NA
1547460000.0 250206.17 NA 377 446 0 NA NA NA 843 675 0 NA NA NA 12782 3446 1205 NA NA NA 4868 2501 1453 NA NA
1547460000.0 250399.0 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA
1547460000.0 250399.17 311 NA NA NA NA NA 669 NA NA NA NA NA 1641 NA NA NA NA NA 3866 NA NA NA NA NA
1547460000.0 250402.0 344 0 144 NA NA NA 713 0 209 NA NA NA 1691 277 1052 NA NA NA 1426 370 1642 NA NA NA
